Date,Scaled_Return,Conditional_Volatility
2016-10-14,0.0464183,0.29273603877307175
2016-10-17,0.0721077,0.2762409611836473
2016-10-18,-0.09273200000000001,0.26309202265183673
2016-10-19,-0.21196489999999998,0.25351886466319845
2016-10-20,-0.1193616,0.25528332349534616
2016-10-21,0.1452665,0.24865911320515746
2016-10-24,-0.10682739999999999,0.2435637209105918
2016-10-25,-0.0748318,0.23678502424548167
2016-10-26,-0.1510953,0.2277641751031403
2016-10-27,0.22904230000000003,0.22616116839899203
2016-10-28,0.15030200000000002,0.2297891024512568
2016-10-31,0.0723738,0.2266190266641358
2016-11-01,0.2773472,0.217444105029124
2016-11-02,-0.5514424,0.225891914461558
2016-11-03,-0.1531346,0.26320262218506335
2016-11-04,-0.6034666,0.2589070324343723
2016-11-05,-0.0481747,0.2981130971514308
2016-11-07,-0.6167215,0.2818789090222837
2016-11-08,0.2492216,0.3200337975410955
2016-11-10,0.0784633,0.31747940429305516
2016-11-11,0.2647835,0.3014610401373519
2016-11-14,0.5297878,0.3017638056618707
2016-11-15,0.0551294,0.3247410482999102
2016-11-16,0.13002840000000002,0.3063009879949031
2016-11-17,0.39766280000000004,0.29527614706365396
2016-11-18,0.2319401,0.3073060051119446
2016-11-21,0.191525,0.3044155666231713
2016-11-22,-0.0539344,0.29848085506431377
2016-11-23,0.1811501,0.2827066391865579
2016-11-24,0.1852629,0.2777349030672499
2016-11-25,0.0145924,0.2735075479954631
2016-11-28,-0.038924,0.2560966071591141
2016-11-29,0.0194664,0.2424632526840088
2016-11-30,0.0291832,0.2278981276625106
2016-12-01,0.054271400000000004,0.21523046136503365
2016-12-02,0.5931714,0.20551441697485373
2016-12-04,0.1262761,0.24403063278584491
2016-12-05,-0.3009601,0.2377765778819379
2016-12-07,0.17400079999999998,0.249086838398435
2016-12-08,-0.0973512,0.24629026612504554
2016-12-10,0.2916836,0.23846704254903797
2016-12-13,0.0,0.24636332369050504
2016-12-14,0.1763237,0.2302098190993522
2016-12-15,0.21453909999999998,0.22913332536697936
2016-12-16,0.10687340000000001,0.23130527636963846
2016-12-19,0.038797899999999996,0.22450834139868744
2016-12-20,0.0,0.21285583155504997
2016-12-21,0.0,0.19931488228736663
2016-12-22,-0.0485029,0.186811302599458
2016-12-23,0.0485029,0.179393778376944
2016-12-27,-0.0097,0.17196441109584445
2016-12-28,0.0290822,0.16234074667995016
2016-12-29,0.029062800000000003,0.15465211803103224
2016-12-30,0.0145241,0.14752749251032948
2017-01-03,0.0244191,0.13978136635151792
2017-01-06,0.131835,0.1333708462874752
2017-01-08,-0.0152268,0.13617554411932375
2017-01-11,0.030786499999999998,0.129635994437107
2017-01-13,0.009729999999999999,0.12445399684747507
2017-01-16,0.024318000000000003,0.11798055546373538
2017-01-17,0.009720000000000001,0.11310804311892803
2017-01-18,-0.2095338,0.10742438192060817
2017-01-19,0.0585763,0.12106924838275396
2017-01-20,-0.0439248,0.11872049731874681
2017-01-23,-0.0684159,0.11590646058820038
2017-01-24,-0.0489346,0.11546321627942487
2017-01-25,0.03426,0.1133197884526006
2017-01-26,-0.029364099999999997,0.10956194515863651
2017-01-27,-0.0587878,0.10611519287196125
2017-01-31,0.0,0.1055035532618604
2017-02-02,0.08325919999999999,0.09980807457734592
2017-02-03,0.0244054,0.10098983244903291
2017-02-05,-0.2002514,0.09729504947154587
2017-02-06,-0.0760098,0.11088378737464145
2017-02-08,0.0963465,0.11148255932132854
2017-02-10,0.0308083,0.11292443113392464
2017-02-11,-0.0615948,0.10891901779409881
2017-02-13,0.029297999999999998,0.10836123217545021
2017-02-14,0.00976,0.1045512878007436
2017-02-15,0.00488,0.0994575126103387
